Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
112,Crysencio Summerville,nlNED,"FW,MF",West Ham,23-185,2001.0,8.7,35,4.01,21,3,5,0,5,1,1,0.11,1,0,0,0,0,0,Matches
113,Curtis Jones,engENG,"MF,DF",Liverpool,24-093,2001.0,16.0,41,2.57,36,0,0,3,2,0,7,0.44,5,0,0,1,1,0,Matches
114,Daichi Kamada,jpJPN,MF,Crystal Palace,28-271,1996.0,14.9,46,3.09,35,6,0,2,1,2,3,0.2,2,1,0,0,0,0,Matches
115,Dan Burn,engENG,DF,Newcastle Utd,32-359,1992.0,33.0,21,0.64,16,1,0,3,1,0,3,0.09,2,1,0,0,0,0,Matches
116,Dane Scarlett,engENG,"FW,MF",Tottenham,21-040,2004.0,0.4,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0,Matches
117,Dango Ouattara,bfBFA,FW,Bournemouth,23-081,2002.0,21.5,68,3.17,54,0,2,10,1,1,6,0.28,4,0,1,1,0,0,Matches
118,Daniel Bentley,engENG,GK,Wolves,31-294,1993.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
119,Daniel Jebbison,engENG,FW,Bournemouth,21-263,2003.0,0.8,5,5.92,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
120,Daniel Muñoz,coCOL,DF,Crystal Palace,28-342,1996.0,31.9,74,2.32,60,2,2,5,1,4,9,0.28,7,0,1,1,0,0,Matches
121,Daniel Podence,ptPOR,"MF,FW",Wolves,29-194,1995.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
122,Danilo,brBRA,"MF,FW",Nott'ham Forest,24-004,2001.0,3.0,7,2.37,7,0,0,0,0,0,2,0.68,2,0,0,0,0,0,Matches
123,Danny Ings,engENG,"FW,MF",West Ham,32-284,1992.0,3.2,12,3.8,7,0,1,3,1,0,2,0.63,0,0,0,1,1,0,Matches
124,Danny Ward,wlsWAL,GK,Leicester City,31-315,1993.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
125,Danny Welbeck,engENG,FW,Brighton,34-158,1990.0,20.6,42,2.04,31,1,3,1,6,0,6,0.29,6,0,0,0,0,0,Matches
126,Dara O'Shea,ieIRL,DF,Ipswich Town,26-060,1999.0,30.7,20,0.65,16,0,0,1,2,1,3,0.1,3,0,0,0,0,0,Matches
127,Darwin Núñez,uyURU,FW,Liverpool,25-313,1999.0,11.3,26,2.29,17,0,4,1,2,2,4,0.35,3,0,0,0,1,0,Matches
128,David Brooks,wlsWAL,"FW,MF",Bournemouth,27-299,1997.0,9.1,35,3.87,29,3,2,1,0,0,2,0.22,1,0,0,1,0,0,Matches
129,David Raya,esESP,GK,Arsenal,29-230,1995.0,34.0,4,0.12,3,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
130,Dean Henderson,engENG,GK,Crystal Palace,28-052,1997.0,34.0,3,0.09,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
131,Dean Huijsen,esESP,DF,Bournemouth,20-019,2005.0,23.8,38,1.6,35,1,0,1,1,0,3,0.13,3,0,0,0,0,0,Matches
132,Declan Rice,engENG,MF,Arsenal,26-109,1999.0,28.6,102,3.57,54,33,3,5,5,2,9,0.31,6,2,0,1,0,0,Matches
133,Dejan Kulusevski,seSWE,"MF,FW",Tottenham,25-008,2000.0,25.3,125,4.93,93,12,15,2,3,0,9,0.35,7,1,1,0,0,0,Matches
134,Destiny Udogie,itITA,DF,Tottenham,22-156,2002.0,20.4,35,1.72,31,0,0,1,1,2,3,0.15,2,0,0,0,0,1,Matches
135,Diego Carlos,brBRA,DF,Aston Villa,32-049,1993.0,9.2,4,0.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
136,Diego Gómez,pyPAR,MF,Brighton,22-037,2003.0,4.9,14,2.86,12,1,0,1,0,0,3,0.61,2,1,0,0,0,0,Matches
137,Diogo Dalot,ptPOR,DF,Manchester Utd,26-046,1999.0,31.0,74,2.39,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0,Matches
138,Diogo Jota,ptPOR,FW,Liverpool,28-150,1996.0,12.2,35,2.87,22,0,6,5,1,1,9,0.74,5,0,2,1,1,0,Matches
