Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
99,Chris Wood,nzNZL,FW,Nott'ham Forest,33-147,1991.0,28.9,19,53,30,56.6,1.84,1.04,0.3,0.53,14.2,0,3,3,11.4,9.1,0.17,7.6,6.9,Matches
100,Christian Eriksen,dkDEN,MF,Manchester Utd,33-078,1992.0,11.0,0,9,1,11.1,0.81,0.09,0.0,0.0,24.8,2,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
101,Christian Nørgaard,dkDEN,MF,Brentford,31-054,1994.0,27.3,5,34,11,32.4,1.24,0.4,0.15,0.45,14.6,0,0,0,3.7,3.7,0.11,1.3,1.3,Matches
102,Christian Walton,engENG,GK,Ipswich Town,29-175,1995.0,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
103,Christopher Nkunku,frFRA,FW,Chelsea,27-170,1997.0,10.2,3,25,11,44.0,2.44,1.07,0.12,0.27,12.6,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
104,Cody Gakpo,nlNED,FW,Liverpool,25-361,1999.0,18.1,9,50,20,40.0,2.77,1.11,0.18,0.45,15.1,0,0,0,6.4,6.4,0.13,2.6,2.6,Matches
105,Cole Palmer,engENG,MF,Chelsea,22-362,2002.0,31.5,14,111,40,36.0,3.53,1.27,0.1,0.28,20.3,12,3,4,15.8,12.7,0.11,-1.8,-1.7,Matches
106,Conor Bradley,nirNIR,DF,Liverpool,21-298,2003.0,5.9,0,9,3,33.3,1.52,0.51,0.0,0.0,14.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
107,Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-076,1997.0,7.2,1,12,3,25.0,1.67,0.42,0.08,0.33,18.3,0,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches
108,Conor Coady,engENG,DF,Leicester City,32-067,1993.0,15.0,0,1,1,100.0,0.07,0.07,0.0,0.0,9.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
