Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lostm,Won%,Matches
127,Darwin Núñez,uyURU,FW,Liverpool,25-313,1999.0,11.3,8,0,0,27,14,11,2,3,15,1,0,0,38,16,29,35.6,Matches
128,David Brooks,wlsWAL,"FW,MF",Bournemouth,27-299,1997.0,9.1,3,0,0,8,15,0,44,5,4,0,0,0,44,7,9,43.8,Matches
129,David Raya,esESP,GK,Arsenal,29-230,1995.0,34.0,2,0,0,1,8,0,0,2,0,0,1,0,38,10,0,100.0,Matches
130,Dean Henderson,engENG,GK,Crystal Palace,28-052,1997.0,34.0,3,0,0,0,0,0,0,0,1,0,0,0,25,11,1,91.7,Matches
131,Dean Huijsen,esESP,DF,Bournemouth,20-019,2005.0,23.8,8,0,0,28,9,2,12,49,23,0,0,0,93,63,41,60.6,Matches
132,Declan Rice,engENG,MF,Arsenal,26-109,1999.0,28.6,7,1,1,19,15,1,155,24,22,0,0,0,139,30,23,56.6,Matches
133,Dejan Kulusevski,seSWE,"MF,FW",Tottenham,25-008,2000.0,25.3,3,0,0,43,33,5,88,13,23,0,0,0,115,10,14,41.7,Matches
134,Destiny Udogie,itITA,DF,Tottenham,22-156,2002.0,20.4,2,0,0,29,38,2,19,21,47,0,0,1,109,13,13,50.0,Matches
135,Diego Carlos,brBRA,DF,Aston Villa,32-049,1993.0,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
136,Diego Gómez,pyPAR,MF,Brighton,22-037,2003.0,4.9,0,0,0,7,2,1,9,7,10,0,0,0,30,7,3,70.0,Matches
137,Diogo Dalot,ptPOR,DF,Manchester Utd,26-046,1999.0,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4,Matches
138,Diogo Jota,ptPOR,FW,Liverpool,28-150,1996.0,12.2,2,0,0,18,12,1,8,7,8,1,0,0,40,21,30,41.2,Matches
139,Divin Mubama,engENG,FW,Manchester City,20-190,2004.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
140,Djed Spence,engENG,DF,Tottenham,24-267,2000.0,16.8,4,1,1,19,23,2,23,17,30,0,0,1,91,17,12,58.6,Matches
141,Dominic Calvert-Lewin,engENG,FW,Everton,28-048,1997.0,17.5,2,0,0,27,22,27,6,6,7,0,0,0,32,83,79,51.2,Matches
142,Dominic Solanke,engENG,FW,Tottenham,27-231,1997.0,23.5,0,0,0,36,36,5,4,0,11,0,0,1,37,44,59,42.7,Matches
143,Dominik Szoboszlai,huHUN,MF,Liverpool,24-190,2000.0,25.1,6,0,0,37,23,4,34,9,20,0,0,0,120,18,22,45.0,Matches
144,Donyell Malen,nlNED,FW,Aston Villa,26-114,1999.0,3.0,0,0,0,1,4,2,7,0,4,0,0,0,8,3,4,42.9,Matches
145,Dwight McNeil,engENG,"MF,FW",Everton,25-162,1999.0,13.2,1,0,0,6,14,1,92,5,6,0,0,0,65,3,14,17.6,Matches
146,Eberechi Eze,engENG,"MF,FW",Crystal Palace,26-308,1998.0,26.0,1,0,0,11,46,9,100,11,22,0,0,0,128,6,36,14.3,Matches
147,Eddie Nketiah,engENG,"FW,MF",Crystal Palace,25-338,1999.0,9.8,5,1,1,25,23,3,5,2,5,1,0,0,21,18,31,36.7,Matches
148,Ederson,brBRA,GK,Manchester City,31-259,1993.0,22.8,3,0,0,1,0,0,0,1,0,0,1,0,38,4,1,80.0,Matches
149,Edmond-Paris Maghoma,engENG,"MF,FW",Brentford,23-360,2001.0,1.3,0,0,0,2,4,0,3,1,1,0,0,0,7,1,3,25.0,Matches
150,Edson Álvarez,mxMEX,MF,West Ham,27-191,1997.0,18.1,8,1,1,37,18,4,6,16,23,0,0,0,78,28,20,58.3,Matches
151,Eiran Cashin,ieIRL,DF,Brighton,23-175,2001.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches
152,Elliot Anderson,engENG,MF,Nott'ham Forest,22-178,2002.0,26.4,7,0,0,40,54,4,73,28,50,0,0,0,186,43,22,66.2,Matches
153,Emerson Palmieri,itITA,DF,West Ham,30-273,1994.0,22.4,5,0,0,24,13,0,63,20,29,0,0,0,84,16,18,47.1,Matches
154,Emi Buendía,arARG,"MF,FW",Aston Villa,28-129,1996.0,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
