STT,Player,Age,Squad,ETV
356,Kepa Arrizabalaga,30,Bournemouth,€12M
357,Alphonse Aréola,32,West Ham,€11.8M
358,Ryan Sessegnon,24,Fulham,€11.8M
359,James Tarkowski,32,Everton,€11.8M
360,Nick Pope,33,Newcastle Utd,€11.7M
361,Casemiro,33,Manchester Utd,€11.6M
362,Harry Winks,29,Leicester City,€11.4M
363,Eiran Joe Cashin,23,Brighton,€11.3M
364,James Ward-Prowse,30,West Ham,€11.2M
365,Santiago Bueno,26,Wolves,€11.2M
366,Will Hughes,30,Crystal Palace,€11.1M
367,Wataru Endo,32,Liverpool,€11.1M
368,Álex Moreno,31,Nott'ham Forest,€11M
369,Fabian Schär,33,Newcastle Utd,€11M
370,Harry Souttar,26,Leicester City,€10.8M
371,Toby Collyer,21,Manchester Utd,€10.7M
372,Ben Godfrey,27,Ipswich Town,€10.5M
373,Andrés García,22,Aston Villa,€10.4M
374,William Osula,21,Newcastle Utd,€10.3M
375,Timo Werner,29,Tottenham,€10.3M
376,Arijanet Murić,26,Ipswich Town,€10.1M
377,Chiedozie Ogbene,28,Ipswich Town,€9.8M
378,Conor Chaplin,28,Ipswich Town,€9.8M
379,Jack Hinshelwood,20,Brighton,€9.2M
380,Flynn Downes,26,Southampton,€9.2M
381,Dan Burn,32,Newcastle Utd,€9.1M
382,Juan Larios,21,Southampton,€9.1M
383,Matz Sels,33,Nott'ham Forest,€9.1M
384,Vítězslav Jaroš,23,Liverpool,€8.9M
385,Oliver Scarles,19,West Ham,€8.7M
386,José Sá,32,Wolves,€8.5M
387,Yunus Konak,19,Brentford,€8.4M
388,Nélson Semedo,31,Wolves,€8.4M
389,Will Smallbone,25,Southampton,€8.4M
390,Rodrigo Muniz,23,Fulham,€8.2M
391,Adama Traoré,29,Fulham,€8M
392,Tyler Morton,22,Liverpool,€7.9M
393,Matt Targett,29,Newcastle Utd,€7.9M
394,Sam Johnstone,32,Wolves,€7.9M
395,Jorge Cuenca,25,Fulham,€7.8M
396,Luke Thomas,23,Leicester City,€7.8M
397,Chris Wood,33,Nott'ham Forest,€7.8M
398,George Hirst,26,Ipswich Town,€7.7M
399,Ethan Pinnock,31,Brentford,€7.6M
400,Daniel Jebbison,21,Bournemouth,€7.5M
401,Kieran Tierney,27,Arsenal,€7.4M
402,Lewis Dunk,33,Brighton,€7.4M
403,Ross Barkley,31,Aston Villa,€7.3M
404,Solly March,30,Brighton,€7.3M
405,Callum Wilson,33,Newcastle Utd,€7.3M
406,Matt Turner,30,Crystal Palace,€7M
407,Justin Devenny,21,Crystal Palace,€6.9M
408,Joe Aribo,28,Southampton,€6.9M
409,Harrison Reed,30,Fulham,€6.7M
410,Ayden Heaven,19,Manchester Utd,€6.7M
411,Andy Irving,24,West Ham,€6.5M
412,Joachim Kayi Sanda,18,Southampton,€6.3M
413,Saša Kalajdžić,27,Wolves,€6.3M
414,Nathan Broadhead,27,Ipswich Town,€6.1M
415,Nathan Wood,22,Southampton,€6.1M
416,Lamare Bogarde,21,Aston Villa,€6M
417,Danny Welbeck,34,Brighton,€6M
418,Abdoulaye Doucouré,32,Everton,€5.8M
419,Stefan Ortega,32,Manchester City,€5.8M
420,Tyrone Mings,32,Aston Villa,€5.8M
421,Joël Veltman,33,Brighton,€5.7M
422,Ben Davies,32,Tottenham,€5.6M
423,Sergio Reguilón,28,Tottenham,€5.6M
424,Joshua Dasilva,26,Brentford,€5.4M
425,Jorginho,33,Arsenal,€5.3M
426,Kieran Trippier,34,Newcastle Utd,€5.1M
427,Raúl Jiménez,33,Fulham,€5.1M
428,Idrissa Gueye,35,Everton,€5M
429,Dane Scarlett,21,Tottenham,€4.9M
430,Pablo Sarabia,32,Wolves,€4.9M
431,Vladimír Coufal,32,West Ham,€4.8M
432,Danny Ings,32,West Ham,€4.6M
433,Odysseas Vlachodimos,31,Newcastle Utd,€4.6M
434,Matai Akinmboni,18,Bournemouth,€4.6M
435,Carlos Miguel,26,Nott'ham Forest,€4.4M
436,Carl Rushworth,23,Brighton,€4.4M
437,Joshua King,18,Fulham,€4.4M
438,Eric da Silva Moreira,19,Nott'ham Forest,€4.3M
439,Axel Tuanzebe,27,Ipswich Town,€4.2M
440,Christian Eriksen,33,Manchester Utd,€4.2M
441,Matt Doherty,33,Wolves,€4.2M
442,Jordan Ayew,33,Leicester City,€4.2M
443,Ricardo Pereira,31,Leicester City,€4.1M
444,Welington,24,Southampton,€4M
445,Ryan Manning,28,Southampton,€3.9M
446,Jack Taylor,26,Ipswich Town,€3.8M
447,Ross Stewart,28,Southampton,€2.8M
448,Bobby Reid,32,Leicester City,€2.7M
449,Jamaal Lascelles,31,Newcastle Utd,€2.7M
450,Hákon Rafn Valdimarsson,23,Brentford,€2.4M
451,Carlos Vinícius,30,Fulham,€2.4M
452,Michael Keane,32,Everton,€2.3M
453,Ryan Fraser,31,Southampton,€2.3M
454,Michael Golding,18,Leicester City,€2.3M
455,Harry Toffolo,29,Nott'ham Forest,€2.2M
456,Conor Coady,32,Leicester City,€2.2M
457,Daniel Iversen,27,Leicester City,€2.1M
458,James Hill,23,Bournemouth,€2.1M
459,Wes Burns,30,Ipswich Town,€2.1M
460,Charlie Taylor,31,Southampton,€2.1M
461,Jannik Vestergaard,32,Leicester City,€2M
462,Emil Krafth,30,Newcastle Utd,€2M
463,Jamal Lewis,27,Newcastle Utd,€2M
464,Luke Woolfenden,26,Ipswich Town,€2M
465,James Bree,27,Southampton,€1.9M
466,Woyo Coulibaly,25,Leicester City,€1.9M
467,Caleb Kporha,18,Crystal Palace,€1.7M
